elapsed_s	realdisk_mb	tmpfs_mb	rss_mb
482.903700753	0	2440.2	10568.3
486.981448568	0	2440.8	10568.3
491.071102488	0	2446.8	10568.3
495.173454536	0	2453.4	10568.3
499.266573061	0	2464.8	10583.2
503.706965445	0	2466.2	10583.2
508.169185080	0	2467.6	10583.2
512.375382965	0	2468.9	10583.2
516.623153661	0	2470.7	10583.2
521.369644787	0	2477.9	10583.2
525.596786792	0	2485.0	10583.2
529.965118864	0	2491.9	10594.4
534.636808381	0	2507.4	10446.5
539.197267696	0	2514.6	10446.5
543.799777313	0	2520.8	10474.8
548.531016095	0	2520.1	10343.1
553.273981172	0	2520.4	10246.9
558.036619580	0	2520.4	10246.9
562.821551670	0	2520.4	10246.9
567.632290157	0	2520.4	10246.9
572.485942797	0	2521.9	10246.9
577.249092049	0	2523.3	10246.9
582.085206164	0	2524.8	10246.9
586.910070133	0	2497.9	10779.5
591.709034635	0	2493.5	10682.8
596.433035318	0	2494.3	10247.0
601.292193984	0	2497.6	10247.0
605.954129977	0	2499.4	10247.0
610.498082405	0	2466.9	10680.8
614.807209201	0	2457.1	10251.0
619.119228712	0	2458.1	10251.0
623.446127760	0	2435.2	10643.6
627.568532658	0	2423.7	10251.0
631.659917614	0	2417.5	14876.3
635.538406356	0	2401.8	11884.2
639.125201624	0	2372.9	10340.7
642.541044211	0	2352.9	13048.7
645.788927079	0	2334.6	10577.7
648.839446799	0	2314.3	10340.7
651.670391160	0	2292.5	14617.7
654.153255002	0	2276.6	10251.1
656.398825388	0	2268.6	10340.8
658.345200970	0	2259.5	11042.6
659.994542060	0	2234.0	16087.8
661.695312956	0	2232.2	13892.3
663.296742575	0	2233.0	10813.9
664.942084115	0	2233.1	10340.5
666.467499682	0	2233.1	2473.1
667.767262622	0	1983.1	2745.9
