"Kernel Name","forward_sweep_warp(const unsigned char *, const long *, const unsigned char *, const unsigned char *, const long *, int, const wave_seed *, int *, int *, int *, int *, unsigned long long *, int *, unsigned char *, const short *, const short *, int)",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Divergent Branches","Address Space","Access Operation","Access Size","L1 Tag Requests Global","L1 Conflicts Shared N-Way","L1 Wavefronts Shared Excessive","L1 Wavefronts Shared","L1 Wavefronts Shared Ideal","L2 Theoretical Sectors Global Excessive","L2 Theoretical Sectors Global","L2 Theoretical Sectors Global Ideal","L2 Explicit Evict Policies","L2 Explicit Hit Policy Evict First","L2 Explicit Hit Policy Evict Last","L2 Explicit Hit Policy Evict Normal","L2 Explicit Hit Policy Evict Normal Demote","L2 Explicit Miss Policy Evict First","L2 Explicit Miss Policy Evict Normal","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0x7efd8725f370","      LDG.E.64 R10, [R10.64] ","3","0","3","518037","16577184","16577184","32","32","0","Global","Load","64","518037","0","0","0","0","0","518037","518037","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f380","      ISETP.NE.AND P3, PT, R2, RZ, PT ","1","0","1","518037","16577184","16577184","32","32","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f390","      IMAD.MOV.U32 R5, RZ, RZ, c[0x0][0x170] ","0","0","0","518037","16577184","16577184","32","32","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f3a0","      ISETP.NE.AND P0, PT, R4, RZ, PT ","9","2","9","518037","16577184","16577184","32","32","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f3b0","      IMAD.MOV.U32 R6, RZ, RZ, c[0x0][0x174] ","2","0","2","518037","16577184","16577184","32","32","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f3c0","      BSSY B0, 0x7efd8725f650 ","1","0","1","518037","16577184","16577184","32","32","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f3d0","      SHF.R.S32.HI R4, RZ, 0x1f, R3 ","0","0","0","518037","16577184","16577184","32","32","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f3e0","      SEL R5, R5, c[0x0][0x178], !P0 ","17","2","17","518037","16577184","16577184","32","32","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","7","1","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"0x7efd8725f3f0","      SEL R6, R6, c[0x0][0x17c], !P0 ","1","1","1","518037","16577184","16577184","32","32","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0x7efd8725f400","@P3   BRA 0x7efd8725f640 ","5","0","5","518037","16577184","16059147","32","31","518037","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f410","      LDG.E R8, [R12.64+0x14] ","10","2","10","518037","518037","518037","1","1","0","Global","Load","32","518037","0","0","0","0","0","518037","518037","","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0x7efd8725f420","      IMNMX R17, R7, R8, PT ","160","40","160","518037","518037","518037","1","1","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","2","0","0","0","148","4","0","0","0","0","4","1","0","0","0","1","0","0","0","0","0","0","39","1","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f430","      LOP3.LUT R15, RZ, R17, RZ, 0x33, !PT ","10","0","10","518037","518037","518037","1","1","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","5","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f440","      IMAD.IADD R14, R8, 0x1, -R17 ","1","0","1","518037","518037","518037","1","1","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f450","      IADD3 R15, R8, 0x2, R15 ","9","0","9","518037","518037","518037","1","1","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f460","      ISETP.GE.U32.AND P2, PT, R14, 0x3, PT ","2","0","2","518037","518037","518037","1","1","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f470","      IMAD.MOV.U32 R14, RZ, RZ, R8 ","1","0","1","518037","518037","518037","1","1","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f480","      LOP3.LUT P0, R15, R15, 0x3, RZ, 0xc0, !PT ","1","0","1","518037","518037","518037","1","1","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f490","@!P0  BRA 0x7efd8725f530 ","7","1","7","518037","518037","0","1","0","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0x7efd8725f4a0","      ISETP.NE.AND P0, PT, R15, 0x1, PT ","5","0","5","518037","518037","518037","1","1","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f4b0","      IMAD.MOV.U32 R9, RZ, RZ, R8 ","0","0","0","518037","518037","518037","1","1","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f4c0","      IADD3 R14, R8, -0x1, RZ ","1","0","1","518037","518037","518037","1","1","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f4d0","@P0   ISETP.NE.AND P1, PT, R15, 0x2, PT ","15","1","15","518037","518037","0","1","0","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","4","0","0","0","0","1","0","0","0","0","3","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0x7efd8725f4e0","@P0   IADD3 R13, R8, -0x2, RZ ","1","0","1","518037","518037","0","1","0","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f4f0","@P0   IADD3 R12, R8, -0x3, RZ ","2","1","2","518037","518037","0","1","0","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0x7efd8725f500","@P0   SEL R9, R14, R13, !P1 ","3","0","3","518037","518037","0","1","0","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f510","@P0   SEL R12, R13, R12, !P1 ","2","0","2","518037","518037","0","1","0","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f520","@P0   IMAD.MOV.U32 R14, RZ, RZ, R12 ","4","1","4","518037","518037","0","1","0","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0x7efd8725f530","@!P2  BRA 0x7efd8725f580 ","1","0","1","518037","518037","518037","1","1","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f540","      IADD3 R9, R14, -0x3, RZ ","3","1","3","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0x7efd8725f550","      IADD3 R14, R14, -0x4, RZ ","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f560","      ISETP.GE.AND P0, PT, R7, R9, PT ","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f570","@!P0  BRA 0x7efd8725f540 ","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7efd8725f580","      IMAD.IADD R12, R7, 0x1, R9 ","4","1","4","518037","518037","518037","1","1","0","-","-","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
